,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
22535,70,Female,Miami,16,73.49,216,0
22551,69,Male,Houston,12,69.44,68,0
22552,67,Female,Miami,1,99.25,316,0
22558,69,Female,Los Angeles,24,56.63,349,1
22572,70,Male,New York,1,51.3,318,0
22576,68,Female,Miami,4,43.65,275,0
22597,65,Female,Chicago,11,48.0,133,1
22602,68,Female,Miami,14,39.48,163,0
22605,70,Female,Chicago,6,88.37,440,0
22612,66,Female,Chicago,13,77.56,98,1
22614,70,Female,Miami,20,65.59,59,1
22622,69,Male,Chicago,14,51.99,173,1
22623,70,Female,New York,16,66.22,192,0
22625,67,Female,Miami,9,37.14,268,1
22627,70,Female,Chicago,14,46.67,396,0
22652,67,Female,Miami,17,42.55,155,0
22666,65,Male,Los Angeles,18,33.54,339,1
22681,65,Female,Chicago,12,53.9,476,0
22695,65,Female,Chicago,24,95.13,344,1
22722,70,Female,Los Angeles,12,52.08,184,0
22741,65,Male,Chicago,4,64.74,174,0
22796,69,Male,Chicago,12,78.19,53,1
22797,69,Male,Chicago,13,32.62,303,0
22802,70,Male,Houston,20,84.38,100,1
22815,70,Female,Miami,10,95.36,415,0
22816,66,Female,Los Angeles,3,41.21,250,0
22817,66,Female,Houston,23,64.23,192,1
22827,67,Female,Houston,19,72.95,75,1
22848,69,Male,Miami,1,65.15,284,0
22858,66,Male,Miami,15,81.44,193,0
22870,65,Male,Miami,9,73.34,170,0
22885,65,Male,Miami,10,74.21,156,1
22903,70,Female,Chicago,3,30.98,162,1
22908,70,Female,Los Angeles,23,99.26,398,0
22911,69,Male,Houston,4,95.0,322,0
22920,69,Female,New York,24,84.13,172,1
22921,66,Male,Miami,12,59.01,415,1
22931,70,Female,New York,18,32.13,471,0
22933,65,Female,Los Angeles,12,81.55,307,0
22934,70,Male,New York,18,67.59,369,0
22950,69,Female,Houston,12,62.89,182,0
22951,69,Female,New York,2,46.36,225,1
22955,65,Female,New York,6,51.04,129,1
22961,69,Female,Miami,1,30.1,216,1
23012,67,Male,New York,16,76.83,72,1
23039,69,Male,Houston,18,57.82,491,0
23067,65,Female,New York,18,90.52,457,1
23071,67,Female,Houston,9,59.33,321,1
23084,66,Female,New York,23,52.24,420,1
23110,65,Female,Chicago,4,77.86,494,0
23125,66,Female,New York,11,77.72,402,1
23127,69,Male,Chicago,14,67.12,117,1
23140,70,Male,Houston,7,90.0,269,0
23151,65,Female,Chicago,7,32.91,303,1
23153,70,Female,Houston,12,37.95,267,0
23161,68,Female,New York,12,93.46,155,0
23169,65,Male,New York,24,69.46,199,1
23187,65,Male,Chicago,19,37.87,467,0
23201,69,Male,Houston,20,39.41,86,1
23225,65,Male,Houston,13,37.54,130,1
23264,69,Female,Los Angeles,2,94.38,57,0
23272,67,Male,Houston,11,82.37,88,1
23273,69,Female,Chicago,13,38.9,268,1
23297,68,Male,Houston,5,86.85,369,1
23324,70,Female,Los Angeles,17,56.27,142,0
23336,69,Female,Chicago,20,41.8,151,0
23354,69,Male,Chicago,23,47.23,284,1
23357,68,Female,Los Angeles,20,41.91,211,0
23359,65,Female,Houston,14,31.99,211,0
23387,65,Male,Miami,5,37.45,186,1
23405,69,Male,New York,11,81.58,337,0
23438,65,Female,Miami,24,72.31,388,1
23456,65,Male,New York,7,40.41,241,1
23459,69,Male,New York,18,85.45,158,1
23464,67,Female,Chicago,2,87.23,365,0
23466,65,Female,Miami,22,84.13,95,1
23467,65,Female,Chicago,23,53.55,99,1
23486,69,Female,Los Angeles,15,77.07,372,0
23488,66,Male,Houston,15,90.84,465,1
23497,68,Male,Chicago,16,40.38,78,1
23499,68,Female,Houston,3,78.46,172,1
23500,66,Female,Houston,2,90.49,346,0
23504,66,Female,Chicago,13,95.78,320,1
23541,67,Female,Chicago,2,38.52,176,0
23554,68,Female,New York,12,42.31,261,0
23558,69,Male,Chicago,7,66.21,369,1
23559,68,Male,Chicago,22,64.16,178,0
23563,69,Male,Miami,2,97.51,189,1
23566,67,Male,Los Angeles,21,90.69,166,0
23570,69,Male,Miami,5,84.26,283,1
23584,67,Female,Los Angeles,9,53.83,435,0
23586,70,Female,New York,17,62.77,456,1
23601,69,Male,Miami,9,65.55,111,1
23602,70,Female,Houston,16,53.1,336,1
23624,70,Male,New York,17,88.91,297,0
23627,68,Female,New York,19,93.64,481,0
23631,65,Male,Houston,15,63.44,468,1
23640,68,Male,Miami,11,98.09,248,0
23642,67,Female,Chicago,19,72.1,377,1
23649,69,Female,Houston,18,86.5,246,0
23653,65,Male,Chicago,3,45.59,197,0
23669,66,Female,New York,12,58.27,213,1
23685,67,Female,Miami,7,97.8,166,0
23690,66,Male,Los Angeles,11,31.34,107,0
23691,68,Female,Los Angeles,24,93.72,369,0
23707,67,Male,New York,15,39.73,424,1
23713,68,Male,Miami,24,30.24,428,0
23716,69,Male,Miami,23,96.44,246,0
23717,69,Female,New York,20,37.32,336,0
23725,67,Male,Miami,3,32.16,78,1
23766,67,Male,Los Angeles,15,98.91,144,1
23775,68,Male,New York,8,64.14,66,1
23782,65,Female,Houston,2,42.48,137,0
23799,66,Male,Los Angeles,11,99.84,314,0
23808,69,Female,Chicago,2,45.34,270,0
23826,69,Female,Los Angeles,6,68.18,302,1
23830,65,Male,New York,1,67.9,172,0
23833,66,Male,Houston,14,87.62,116,1
23834,66,Female,Chicago,20,69.94,306,1
23849,66,Female,Los Angeles,5,32.25,276,1
23856,68,Male,Chicago,20,57.12,281,0
23872,70,Male,Chicago,7,97.58,401,0
23879,68,Male,Chicago,1,47.51,110,0
23897,69,Female,Miami,20,49.36,70,0
23920,65,Female,New York,18,98.31,285,0
23952,68,Female,New York,5,45.07,257,1
23970,67,Male,Chicago,24,74.16,125,1
23973,67,Female,Miami,3,63.11,192,0
23987,67,Female,Los Angeles,1,91.81,364,1
24002,70,Female,New York,22,56.78,423,0
24004,69,Female,Chicago,19,67.68,120,1
24036,69,Female,New York,16,59.46,471,1
24049,65,Male,Houston,23,55.47,333,1
24058,70,Female,Miami,11,47.96,164,1
24061,69,Male,Los Angeles,4,32.03,257,1
24068,70,Male,Miami,13,89.29,385,0
24071,68,Female,Houston,24,30.18,168,0
24072,67,Male,Chicago,7,81.53,221,1
24073,67,Male,Chicago,20,62.46,171,0
24077,67,Male,Houston,17,98.11,458,0
24078,65,Male,Miami,24,64.12,244,0
24100,67,Female,Los Angeles,12,88.93,408,0
24108,70,Female,Miami,2,83.8,181,0
24119,65,Female,Los Angeles,7,31.8,491,1
24128,67,Male,Los Angeles,6,31.97,225,1
24131,67,Male,Los Angeles,12,78.23,209,1
24140,67,Male,Miami,12,65.16,61,0
24144,69,Male,Miami,15,51.81,218,0
24148,69,Male,New York,17,56.22,418,1
24158,67,Male,Los Angeles,23,75.05,396,1
24172,68,Female,Los Angeles,15,40.45,183,1
24179,67,Male,Los Angeles,9,82.86,173,0
24203,67,Female,Miami,8,32.71,431,0
24208,68,Female,Chicago,13,99.87,82,1
24211,65,Female,Miami,9,90.11,156,1
24224,66,Female,Los Angeles,7,99.35,404,0
24225,68,Male,Miami,2,91.77,418,0
24237,67,Male,Miami,23,60.9,394,0
24239,66,Female,Chicago,3,95.83,368,1
24246,68,Female,Miami,21,54.9,204,0
24247,68,Male,Chicago,5,62.22,80,1
24248,67,Male,Miami,2,61.24,326,0
24255,68,Male,Los Angeles,8,97.29,448,0
24258,65,Male,New York,14,30.64,200,0
24264,69,Male,Miami,1,36.9,312,1
24269,66,Male,Chicago,20,46.66,59,0
24273,68,Female,New York,6,33.31,60,1
24293,67,Male,Miami,3,61.67,324,1
24294,65,Male,Chicago,2,96.42,190,0
24296,69,Female,Chicago,12,86.44,387,0
24303,65,Female,Chicago,21,81.43,351,1
24341,65,Male,Los Angeles,1,31.8,456,0
24342,67,Male,Miami,21,60.9,426,0
24362,70,Male,Los Angeles,21,95.18,312,1
24372,66,Female,Houston,3,67.33,112,1
24379,68,Female,Houston,4,83.91,118,0
24401,67,Female,Houston,3,85.09,349,0
24402,69,Male,Houston,16,78.89,316,1
24406,65,Male,Houston,20,62.74,74,1
24412,70,Female,New York,22,99.79,308,1
24414,67,Male,Chicago,18,48.29,271,1
24423,67,Male,Los Angeles,7,38.56,437,0
24426,70,Female,Chicago,9,82.04,143,1
24448,65,Male,Houston,18,30.62,183,1
24470,70,Male,New York,3,31.68,465,1
24477,68,Male,Houston,11,60.12,378,0
24479,66,Female,Miami,13,36.53,241,0
24486,69,Female,Miami,8,38.65,475,1
24499,70,Female,Chicago,21,69.95,53,0
24501,69,Female,Chicago,17,80.26,223,0
24510,69,Female,Los Angeles,8,58.65,429,1
24512,68,Female,New York,2,98.5,477,1
24523,70,Female,Houston,24,82.24,239,0
24526,65,Male,Chicago,18,44.34,480,0
24551,67,Male,Los Angeles,5,35.7,393,1
24557,66,Male,Houston,11,97.04,232,1
24571,69,Female,Chicago,20,43.54,389,1
24578,70,Male,Miami,14,31.47,404,0
24593,65,Male,Los Angeles,17,69.33,193,0
24607,66,Male,New York,1,59.97,403,1
24617,65,Male,Los Angeles,16,94.23,107,0
24637,68,Female,Los Angeles,7,59.15,239,1
24701,66,Female,Miami,16,36.42,340,1
24724,69,Male,New York,14,82.69,95,1
24727,67,Female,Chicago,20,41.26,199,0
24728,65,Female,Chicago,4,88.36,396,0
24730,66,Male,Los Angeles,23,63.23,294,0
24734,69,Female,Chicago,5,75.72,451,1
24753,67,Male,New York,10,80.02,474,1
24766,68,Female,Houston,10,85.61,271,0
24769,65,Female,Miami,8,36.39,472,1
24784,67,Male,Chicago,3,86.64,479,0
24788,66,Male,Miami,10,98.97,461,1
24791,70,Male,New York,7,30.78,218,0
24812,69,Male,Los Angeles,13,98.01,447,1
24816,65,Male,New York,16,81.16,471,1
24823,66,Female,Miami,18,31.33,347,1
24833,68,Female,Chicago,4,51.66,410,0
24836,66,Male,Miami,5,58.07,137,1
24875,65,Male,New York,23,33.42,444,1
24906,66,Male,Los Angeles,22,43.08,153,1
24936,66,Female,Miami,21,50.29,311,1
24938,68,Male,Los Angeles,20,74.06,187,0
24940,69,Male,Houston,19,97.12,307,1
24973,69,Female,Miami,24,78.95,404,0
24988,68,Female,New York,12,46.14,179,0
24991,65,Female,Houston,4,82.14,79,1
25002,67,Male,Houston,19,81.83,89,1
25017,68,Female,Houston,1,99.87,209,1
25038,65,Male,Houston,3,42.81,157,1
25041,70,Female,Los Angeles,13,69.01,281,1
25051,69,Male,New York,13,93.54,457,1
25054,65,Female,New York,5,43.14,200,1
25070,65,Male,New York,6,52.14,310,0
25072,66,Female,Houston,16,34.77,361,1
25079,67,Male,Chicago,7,75.3,213,1
25083,67,Male,Chicago,11,66.98,56,1
25084,68,Female,New York,18,95.65,202,0
25087,67,Male,New York,5,52.22,96,0
25090,69,Female,Chicago,12,66.6,489,1
25109,69,Female,Chicago,6,47.38,65,0
25128,67,Female,Houston,13,82.45,499,1
25138,66,Male,Chicago,3,52.14,488,1
25150,66,Female,New York,2,66.96,200,0
25161,68,Female,Chicago,1,47.85,500,0
25163,65,Male,Houston,16,32.57,404,0
25164,69,Female,Houston,14,71.42,488,1
25165,65,Male,Chicago,15,94.12,497,0
25180,65,Male,Los Angeles,21,68.65,446,0
25209,67,Female,Los Angeles,1,61.99,339,0
25211,70,Male,Miami,12,43.91,147,0
25221,69,Male,Chicago,10,98.9,287,0
25236,68,Male,New York,21,87.29,339,0
25237,68,Male,Chicago,22,78.33,322,0
25239,69,Female,Houston,3,60.46,440,0
25250,68,Female,New York,5,51.55,133,1
25260,69,Male,Houston,2,92.21,475,0
25265,66,Male,New York,17,80.36,318,0
25268,70,Female,Chicago,16,51.74,128,0
25290,67,Male,New York,22,73.13,405,1
25295,68,Male,Chicago,3,73.48,256,1
25301,66,Male,Chicago,10,80.08,308,1
25306,65,Male,Chicago,14,45.98,303,0
25307,67,Male,New York,3,38.74,413,0
25314,67,Male,New York,16,92.32,398,0
25322,65,Female,Miami,6,35.87,217,1
25323,66,Male,Houston,20,47.14,136,0
25325,68,Male,New York,14,87.11,65,1
25341,67,Male,Chicago,22,55.7,440,1
25345,70,Male,Houston,3,61.06,440,1
25349,66,Female,Chicago,15,73.3,64,1
25366,66,Female,Houston,12,59.98,170,1
25373,66,Male,Los Angeles,14,38.08,84,1
25388,65,Male,Houston,6,48.57,424,1
25421,65,Female,Houston,6,74.4,408,1
25424,65,Female,Houston,16,30.79,425,0
25434,65,Female,Chicago,20,50.97,263,0
25445,67,Female,Miami,7,48.72,264,1
25458,65,Male,New York,4,46.92,320,1
25473,66,Male,Houston,4,94.62,285,1
25476,65,Male,Los Angeles,19,97.79,97,1
25478,69,Female,Miami,14,34.58,244,1
25486,67,Male,New York,7,65.17,289,1
25487,67,Female,Miami,12,38.42,148,1
25502,67,Male,Chicago,10,68.36,287,1
25505,70,Female,Houston,16,54.09,394,0
25507,68,Female,Houston,10,48.51,70,1
25516,69,Female,New York,13,97.32,442,0
25521,65,Female,Houston,20,72.29,178,0
25522,70,Male,Miami,18,92.16,500,0
25523,66,Male,Miami,13,86.98,495,1
25526,68,Female,Houston,6,96.45,421,0
25536,65,Male,New York,20,94.34,449,1
25550,66,Female,Los Angeles,16,57.96,131,1
25560,65,Male,Los Angeles,8,34.92,131,1
25564,67,Female,Los Angeles,9,48.84,336,1
25580,69,Female,New York,10,35.23,76,0
25581,67,Male,Los Angeles,7,63.44,132,0
25593,67,Male,Miami,7,35.39,162,0
25599,65,Female,Miami,3,74.17,460,0
25607,68,Male,Los Angeles,2,78.8,392,0
25634,67,Female,Houston,20,31.85,197,0
25639,70,Female,Chicago,1,52.62,68,1
25645,70,Female,Los Angeles,20,71.62,83,1
25649,65,Female,Miami,3,42.32,184,1
25650,70,Male,Miami,18,40.6,170,1
25657,69,Male,Chicago,8,73.88,297,0
25659,68,Female,Houston,17,33.55,98,0
25663,69,Female,Chicago,5,52.65,83,0
25665,70,Female,Houston,3,83.52,473,0
25667,65,Male,Los Angeles,1,68.8,499,0
25678,69,Female,Miami,14,48.22,122,0
25686,67,Female,New York,4,98.0,317,0
25689,65,Female,Houston,17,61.78,367,0
25695,65,Female,New York,11,99.26,218,0
25701,69,Male,Miami,20,38.74,293,0
25704,66,Male,Miami,6,90.39,379,1
25709,66,Male,New York,21,64.97,196,1
25719,66,Male,New York,9,68.21,491,0
25720,65,Female,Los Angeles,18,65.92,172,1
25725,66,Female,New York,21,58.77,276,1
25739,66,Male,Miami,17,86.74,283,1
25740,70,Female,Chicago,13,36.84,50,1
25750,67,Female,Los Angeles,18,59.08,214,1
25786,67,Male,Chicago,8,76.76,444,1
25788,67,Female,Los Angeles,1,57.16,168,0
25844,68,Female,Houston,2,81.1,355,1
25859,69,Male,Miami,24,94.34,304,1
25866,67,Male,New York,24,93.68,346,1
25869,69,Male,Chicago,22,60.56,377,0
25873,70,Female,Houston,18,84.19,465,1
25881,65,Male,Houston,7,88.87,149,1
25886,69,Male,Houston,12,88.7,70,1
25934,67,Male,Houston,2,44.13,52,1
25951,68,Female,Chicago,10,52.98,110,1
25952,69,Female,New York,9,99.62,159,0
25971,65,Female,Miami,13,99.76,70,0
25974,70,Female,Chicago,17,37.72,60,1
25976,67,Male,New York,9,72.57,141,1
25978,70,Male,Chicago,2,66.43,219,0
25987,66,Male,Miami,2,69.54,454,1
25989,68,Male,New York,21,37.96,119,1
25996,69,Male,New York,14,61.67,473,1
26001,70,Male,Miami,8,56.04,336,1
26011,70,Male,Chicago,2,71.85,302,0
26032,65,Male,Los Angeles,16,94.01,183,0
26034,65,Female,Los Angeles,14,49.33,390,1
26042,70,Male,Miami,15,91.85,294,0
26050,65,Female,New York,21,79.28,229,0
26065,65,Male,Los Angeles,16,78.27,296,1
26082,70,Female,Chicago,19,55.55,83,1
26120,67,Male,Chicago,5,47.77,230,0
26122,67,Male,Houston,24,96.98,202,1
26127,69,Male,New York,12,50.5,441,1
26135,66,Female,Houston,15,34.78,355,0
26138,65,Female,Chicago,19,71.72,148,1
26151,66,Male,Chicago,18,83.64,421,1
26156,65,Male,Houston,23,48.86,468,0
26165,70,Male,Houston,1,53.0,432,0
26169,66,Female,Houston,19,76.85,320,1
26170,69,Female,Los Angeles,12,45.65,172,1
26171,67,Female,Houston,24,82.05,409,1
26179,68,Male,Chicago,14,88.9,297,1
26194,69,Female,New York,14,70.97,100,1
26197,67,Male,Chicago,12,71.96,408,1
26202,66,Male,Chicago,8,67.71,406,1
26214,70,Female,Chicago,23,34.79,137,1
26235,70,Female,Chicago,6,86.82,71,1
26247,66,Male,Chicago,10,81.08,433,0
26249,69,Female,Chicago,10,79.63,421,1
26254,66,Female,Miami,1,31.51,387,1
26256,68,Male,Chicago,16,64.44,390,1
26261,68,Male,Houston,19,54.84,127,1
26277,69,Male,Houston,4,48.43,164,1
26281,65,Male,New York,7,50.58,238,1
26296,67,Female,New York,13,82.58,434,1
26298,68,Male,New York,15,53.7,326,1
26310,69,Female,Houston,17,67.74,481,1
26312,69,Female,Chicago,14,63.83,263,0
26316,68,Female,New York,24,91.6,204,1
26322,68,Female,Miami,10,65.85,428,1
26366,67,Female,Los Angeles,19,47.54,77,0
26373,68,Female,Houston,22,61.29,306,1
26379,68,Male,Chicago,7,37.31,246,0
26392,69,Female,Chicago,3,38.06,236,0
26393,66,Male,Miami,16,50.02,290,1
26394,67,Male,Miami,21,95.88,325,1
26405,68,Male,Los Angeles,10,99.38,146,1
26407,67,Male,Chicago,12,71.64,153,1
26411,70,Male,New York,11,46.49,175,1
26424,67,Male,Los Angeles,6,62.33,154,0
26427,70,Male,Houston,19,67.13,276,1
26434,69,Male,Houston,9,86.88,338,1
26435,70,Male,Chicago,18,88.26,351,1
26440,68,Female,New York,3,49.25,136,0
26442,70,Female,New York,20,39.44,297,1
26459,65,Female,Houston,18,49.98,139,0
26469,70,Female,Los Angeles,9,71.12,240,1
26476,68,Male,Chicago,7,72.77,457,0
26485,68,Female,New York,6,61.05,378,1
26490,67,Female,Chicago,5,96.25,479,0
26493,67,Female,New York,22,81.63,261,1
26505,65,Male,Miami,4,66.74,459,1
26507,67,Female,Houston,20,50.7,94,1
26518,65,Male,Los Angeles,18,80.49,128,1
26532,68,Female,New York,6,98.61,180,1
26541,65,Male,Chicago,12,67.67,412,0
26555,69,Male,Houston,9,36.86,232,1
26557,67,Female,Los Angeles,2,98.69,90,1
26561,70,Female,New York,15,92.38,480,0
26569,70,Male,Chicago,24,43.79,439,0
26590,65,Female,Miami,5,80.31,234,1
26602,68,Male,Chicago,14,51.73,80,0
26610,67,Female,New York,15,50.12,54,0
26612,68,Female,New York,2,53.31,136,1
26617,65,Male,Chicago,4,60.47,435,0
26635,68,Female,Chicago,21,32.47,465,1
26636,66,Female,New York,16,38.84,338,0
26643,65,Male,Chicago,13,79.34,238,0
26652,67,Female,Los Angeles,24,78.67,95,1
26670,66,Male,Chicago,1,98.99,321,0
26671,66,Female,New York,3,90.35,288,1
26684,69,Male,Los Angeles,3,72.81,143,0
26722,70,Male,New York,14,58.09,457,0
26733,65,Male,Houston,23,61.91,412,1
26788,67,Female,Miami,15,64.95,432,0
26791,66,Male,Chicago,3,39.06,284,0
26794,70,Female,Los Angeles,22,67.6,374,0
26796,66,Female,Houston,8,91.87,471,1
26797,67,Male,Houston,23,63.57,363,1
26843,67,Male,New York,13,60.7,111,1
26846,68,Male,Houston,15,30.36,379,1
26855,68,Male,Chicago,18,98.53,313,1
26869,65,Male,Houston,21,58.14,467,1
26883,66,Female,Chicago,20,38.89,408,1
26891,67,Male,Los Angeles,3,58.81,384,0
26897,65,Female,Los Angeles,18,80.9,412,1
26899,66,Male,Houston,16,65.64,226,1
26900,68,Female,Chicago,11,36.05,404,1
26901,70,Male,Houston,6,59.04,157,0
26904,65,Female,Houston,5,43.83,239,1
26906,70,Male,Los Angeles,20,37.83,457,0
26910,66,Female,New York,24,75.74,362,0
26922,70,Male,Miami,18,91.47,252,0
26943,65,Female,New York,8,35.53,381,1
26948,70,Female,Houston,10,84.44,499,0
26952,66,Male,Chicago,11,56.39,334,1
26962,69,Female,Houston,17,60.56,272,0
26977,70,Male,New York,23,95.89,409,1
26980,70,Male,Houston,16,45.57,348,0
26982,69,Female,Chicago,9,32.76,209,1
26991,69,Male,New York,4,66.72,220,0
27001,69,Male,Los Angeles,21,64.09,246,0
27007,67,Female,New York,12,37.97,355,1
27013,69,Male,Chicago,3,45.54,381,1
27025,66,Male,Los Angeles,22,64.44,291,0
27028,66,Female,Houston,21,76.39,160,0
27031,68,Male,Los Angeles,15,56.48,110,0
27047,65,Female,Houston,20,30.12,498,1
27052,68,Female,Los Angeles,16,40.98,380,0
27055,70,Male,Chicago,12,32.91,285,1
27071,66,Female,Houston,3,43.12,425,1
27077,70,Male,Miami,2,84.63,76,1
27079,70,Female,Miami,23,37.2,433,0
27118,66,Male,New York,8,58.77,344,0
27125,69,Female,Los Angeles,21,81.28,288,0
27136,65,Male,Chicago,12,71.93,318,1
27146,66,Female,Houston,5,74.41,163,0
27148,65,Female,Houston,18,88.89,286,1
27163,67,Male,New York,6,79.68,302,1
27165,68,Male,Miami,8,87.52,481,0
27176,69,Female,New York,15,34.25,313,1
27187,68,Male,New York,15,33.12,135,0
27191,70,Female,Houston,8,45.25,176,0
27204,66,Male,Chicago,7,42.72,241,0
27212,70,Male,Miami,18,95.49,297,1
27232,66,Female,Miami,8,37.1,113,1
27247,65,Male,New York,10,91.77,266,1
27252,68,Female,Chicago,20,46.21,282,0
27270,69,Male,Los Angeles,15,30.98,243,1
27279,70,Male,Houston,22,59.66,55,1
27292,67,Male,Houston,13,94.53,417,0
27303,70,Female,New York,5,52.13,150,0
27309,65,Female,Houston,17,65.58,408,1
27315,66,Female,New York,13,67.44,52,1
27317,70,Male,New York,10,54.0,56,0
27320,66,Female,Chicago,1,49.85,351,0
27328,66,Female,Miami,1,95.34,315,1
27337,69,Female,New York,4,99.78,90,0
27343,67,Male,Houston,15,71.36,186,1
27352,65,Female,Miami,22,54.68,113,1
27362,67,Male,Houston,8,43.67,305,0
27370,67,Female,Miami,15,38.28,375,1
27381,70,Male,Chicago,21,73.04,159,0
27382,65,Female,Houston,5,71.68,431,1
27385,65,Female,Los Angeles,9,54.84,491,0
27387,68,Male,Chicago,15,90.6,217,1
27411,67,Male,Miami,24,84.27,416,0
27418,68,Male,Houston,14,54.29,59,0
27439,67,Male,New York,16,96.82,161,1
27443,67,Male,New York,24,48.23,101,1
27448,69,Female,Los Angeles,18,39.98,66,1
27457,68,Female,Miami,24,47.67,120,0
27458,70,Male,Houston,18,98.53,327,0
27460,66,Female,Chicago,6,61.89,419,0
27474,70,Male,Chicago,3,30.37,318,0
27483,68,Male,Miami,12,60.71,251,0
27515,65,Female,Houston,2,54.03,196,1
27520,67,Male,New York,6,82.8,405,0
27521,65,Female,Chicago,11,80.14,326,0
27540,65,Female,New York,7,30.05,417,0
27548,66,Female,Miami,14,56.27,394,0
27556,65,Female,New York,5,74.0,202,0
27563,68,Male,Los Angeles,24,84.56,102,0
27564,65,Male,New York,12,53.17,134,1
27571,69,Female,Houston,9,93.99,286,1
27572,69,Male,Los Angeles,22,88.08,406,0
27579,70,Male,Los Angeles,9,82.41,113,0
27581,68,Female,Miami,6,68.37,241,0
27586,66,Female,New York,20,81.22,69,0
27587,67,Female,Miami,20,42.43,245,1
27592,68,Female,Los Angeles,10,42.72,436,0
27593,69,Male,Houston,7,80.24,354,1
27599,68,Male,New York,20,96.11,469,0
27601,67,Male,Los Angeles,14,47.0,392,0
27609,70,Female,Miami,18,80.97,379,1
27620,65,Male,Chicago,3,80.18,484,0
27625,65,Male,Los Angeles,1,52.99,255,0
27646,69,Male,Chicago,5,66.68,433,0
27652,66,Female,Los Angeles,8,78.3,370,0
27655,67,Male,Chicago,17,72.24,265,0
27656,65,Female,Houston,12,61.64,461,1
27660,69,Male,Houston,20,38.49,194,1
27677,66,Male,New York,12,54.28,488,0
27715,68,Female,Houston,10,72.25,444,0
27724,69,Male,Los Angeles,3,44.05,255,1
27735,67,Female,New York,15,95.46,389,0
27753,67,Female,Miami,15,73.97,106,0
27784,68,Male,New York,24,44.51,256,0
27796,70,Female,Houston,11,83.92,347,1
27797,65,Female,Houston,12,39.86,356,0
27803,67,Male,Los Angeles,19,30.35,240,0
27808,69,Male,Los Angeles,3,92.13,205,0
27832,65,Female,Houston,7,88.11,312,0
27851,68,Female,Los Angeles,23,75.39,216,1
27873,66,Female,Chicago,16,94.76,398,0
27899,67,Male,Miami,24,30.94,236,1
27903,69,Male,New York,24,72.47,491,1
27938,65,Female,Los Angeles,17,68.38,161,1
27942,70,Female,New York,13,68.31,208,1
27990,65,Female,Chicago,14,99.76,225,0
28010,67,Male,Chicago,7,79.36,328,1
28012,69,Male,Miami,16,62.06,292,1
28017,66,Female,Los Angeles,20,56.19,335,0
28031,66,Male,New York,11,94.29,330,1
28043,70,Male,Los Angeles,18,56.66,356,1
28047,67,Male,New York,15,71.67,185,1
28049,65,Female,New York,15,71.69,383,1
28056,68,Female,Chicago,11,97.42,207,0
28064,69,Female,Miami,8,58.49,305,1
28077,69,Male,Miami,14,84.42,331,0
28096,67,Male,Los Angeles,8,66.95,221,1
28104,68,Male,Chicago,12,46.96,404,1
28114,69,Male,Los Angeles,15,61.05,307,1
28125,65,Male,Houston,9,32.07,69,1
28126,68,Female,Miami,21,31.9,472,1
28127,69,Male,Los Angeles,8,67.13,55,1
28128,68,Female,Chicago,13,79.46,410,1
28130,65,Male,Houston,7,51.92,281,1
28138,67,Male,Miami,3,66.81,484,1
28141,65,Female,Miami,9,34.07,470,0
28147,66,Male,Miami,3,85.58,318,0
28148,65,Male,Miami,10,39.24,445,0
28163,68,Female,Chicago,9,43.3,291,0
28166,66,Female,New York,22,70.4,387,1
28168,67,Male,Los Angeles,17,34.6,357,1
28195,67,Female,Houston,12,96.27,157,1
28201,67,Female,Houston,19,99.51,375,0
28205,65,Male,Chicago,4,65.43,427,0
28212,70,Male,Miami,24,83.52,132,0
28215,67,Male,Chicago,21,32.96,303,1
28225,68,Male,New York,15,53.74,98,0
28226,66,Male,Los Angeles,13,95.3,417,1
28229,68,Female,Chicago,14,97.93,94,1
28241,69,Male,Los Angeles,17,71.92,184,0
28252,66,Male,Houston,10,44.51,66,1
28260,65,Male,Chicago,23,90.67,165,1
28261,69,Male,New York,21,84.75,142,1
28263,68,Female,Miami,9,30.33,249,1
28266,68,Female,Chicago,13,43.27,355,1
28292,67,Female,Houston,23,52.35,85,1
28301,69,Male,Miami,17,34.49,310,0
28302,68,Male,Los Angeles,9,83.12,277,0
28305,70,Male,New York,21,35.37,343,0
28308,68,Female,Miami,7,91.06,52,1
28310,68,Male,New York,1,84.43,358,1
28350,67,Female,Miami,15,82.36,228,1
28358,70,Male,Los Angeles,15,87.91,222,1
28364,65,Female,Chicago,23,89.46,215,0
28376,65,Male,New York,7,36.9,237,1
28393,66,Female,Miami,1,68.02,231,1
28403,66,Male,New York,23,38.18,349,0
28410,67,Female,New York,20,65.39,455,1
28417,69,Female,Los Angeles,18,31.64,274,1
28418,66,Male,Houston,19,67.56,456,1
28435,68,Male,Miami,4,40.33,191,0
28447,67,Male,Chicago,23,33.51,72,1
28470,69,Female,Chicago,2,88.8,323,0
28472,69,Female,Houston,19,91.97,162,0
28474,68,Female,Houston,14,83.28,349,1
28475,68,Female,Chicago,13,80.94,156,0
28477,69,Female,Chicago,11,90.02,418,0
28482,68,Female,Los Angeles,9,73.48,204,0
28503,68,Female,Chicago,24,49.33,225,0
28507,69,Female,New York,5,55.3,182,0
28515,69,Male,Los Angeles,7,34.09,99,1
28520,68,Male,New York,24,55.73,375,0
28527,68,Female,Los Angeles,21,47.84,443,1
28528,69,Female,New York,23,64.21,191,0
